Macrotrends Data Download

India Unemployment Rate 1991-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Unemployment Rate (%), Annual Change, 
1991-12-31,5.599
1992-12-31,5.727,0.13
1993-12-31,5.691,-0.04
1994-12-31,5.739,0.05
1995-12-31,5.755,0.02
1996-12-31,5.74,-0.01
1997-12-31,5.613,-0.13
1998-12-31,5.666,0.05
1999-12-31,5.736,0.07
2000-12-31,5.561,-0.18
2001-12-31,5.576,0.01
2002-12-31,5.53,-0.05
2003-12-31,5.643,0.11
2004-12-31,5.629,-0.01
2005-12-31,5.613,-0.02
2006-12-31,5.601,-0.01
2007-12-31,5.572,-0.03
2008-12-31,5.414,-0.16
2009-12-31,5.544,0.13
2010-12-31,5.546,0
2011-12-31,5.426,-0.12
2012-12-31,5.414,-0.01
2013-12-31,5.424,0.01
2014-12-31,5.436,0.01
2015-12-31,5.435,0
2016-12-31,5.423,-0.01
2017-12-31,5.358,-0.07
2018-12-31,5.33,-0.03
2019-12-31,5.27,-0.06
2020-12-31,7.997,2.73
2021-12-31,5.978,-2.02
